	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-PF9	0.517762521534827	0.6084008337891508	0.6106516800160233	0.6136363779467638	0.7148171699367735	0.546105615323334	0.6929335101206971	0.6805048930717996	0.6152994705054585	0.5437760238019935	0.5391530986709968	0.634506141450385	0.5030702338349238	0.0	0.5739510599843229	0.439322835283662	0.5084715934278524	0.572514304826587	0.5187663864588339	0.592757361954868	0.4446341259406899	0.5137733133101181	0.5150707593682656	0.5132551488551504
G3-WF1	0.43159320969933945	0.6376236023113275	0.6858950873048799	0.7093634657868836	0.7481510501560817	0.3738884559028015	0.7808059621205126	0.7425561108031312	0.6030007301107884	0.618570639332106	0.6976786210507091	0.6837112842601278	0.547242012141156	0.5739510599843229	0.0	0.44832250492447234	0.6047904480105142	0.6303289670020409	0.5160780842631938	0.5681243309079277	0.5957238105438601	0.30078906568633	0.3935261380967514	0.2942760539810159
G3-WF10	0.3610368020695963	0.5102762830855431	0.5531430332885117	0.5948814466936913	0.6633626688245154	0.3953958689661119	0.6966069124322736	0.6381339653788437	0.5565880874252642	0.43492374806088197	0.5280629765577266	0.5479871550549356	0.4026215197103045	0.439322835283662	0.44832250492447234	0.0	0.4102639571087202	0.4616686688906204	0.3939997585406306	0.5174650240695383	0.41108355670880303	0.3840995081239659	0.3923367507271301	0.29624673955595937
G3-WF2	0.5223960383279503	0.5555671795789018	0.5502003373155806	0.5493555780845533	0.6474661420992033	0.47962220856863874	0.618673283252967	0.6703525446679919	0.6596793238687003	0.5238534036454338	0.46134858533308704	0.5879970157367773	0.4285828824758588	0.5084715934278524	0.6047904480105142	0.4102639571087202	0.0	0.45333053921819194	0.5290828624591639	0.5207014107778478	0.47627192024691595	0.5473519101976487	0.5411405342400939	0.4767041964681199
G3-WF3	0.5363379664326456	0.5517872204539382	0.4937820306264591	0.5708497981230287	0.6081062607639082	0.5470171036069994	0.6418103244543435	0.5830540212725572	0.5822642157841141	0.5632182793278108	0.5378939285429293	0.6602942432678768	0.4681487621989304	0.572514304826587	0.6303289670020409	0.4616686688906204	0.45333053921819194	0.0	0.536338606915965	0.5330910813897114	0.4987538570272449	0.5788133500833106	0.5664015409589692	0.48065701274992495
G3-WF4	0.2670138777517301	0.4821766241050317	0.45078695877526276	0.5296581589277622	0.5532484520748889	0.47329329800015857	0.6191808511063078	0.6224232801387654	0.5579258225748989	0.43096363946076577	0.5880369005167185	0.6040751440175791	0.5247554047377542	0.5187663864588339	0.5160780842631938	0.3939997585406306	0.5290828624591639	0.536338606915965	0.0	0.5295168825175375	0.543558409322852	0.43106031821169954	0.4005910918249762	0.4202943817025169
G3-WF5	0.5910084904509532	0.6034541161101128	0.5228970980690826	0.6334325369116792	0.617749720458636	0.46793145016478116	0.6620636942124857	0.6210188860842558	0.5030687589123348	0.5059116308886262	0.5754252129447204	0.5924759748771086	0.4935018959757508	0.592757361954868	0.5681243309079277	0.5174650240695383	0.5207014107778478	0.5330910813897114	0.5295168825175375	0.0	0.5367454404748708	0.5266073775124434	0.559721545168241	0.42258437843001845
G3-WF6	0.5392075919770205	0.5787967639433406	0.582150946024219	0.5452391250030229	0.6839803053069258	0.5400473686475209	0.6332678172378624	0.6397976513243264	0.576141355366168	0.5700788739423618	0.5579194743650754	0.5837555623376672	0.4748285044501333	0.4446341259406899	0.5957238105438601	0.41108355670880303	0.47627192024691595	0.4987538570272449	0.543558409322852	0.5367454404748708	0.0	0.5412918003201452	0.5357950592093591	0.44666905166530035
G3-WF7	0.37166597347201635	0.6021793557641991	0.6312547983433523	0.6774568617359111	0.7270906103099103	0.3330992851252872	0.7790069239349714	0.7237273571291172	0.5548485284394534	0.555132340258561	0.6640019486480478	0.6832999057408954	0.5177660629285012	0.5137733133101181	0.30078906568633	0.3840995081239659	0.5473519101976487	0.5788133500833106	0.43106031821169954	0.5266073775124434	0.5412918003201452	0.0	0.34036036648698414	0.2413385638066892
G3-WF8	0.3932523617414446	0.5486870369179109	0.6354030273507053	0.649659223860919	0.6883925462595777	0.40484797962647984	0.7585759555335692	0.7072314654949986	0.5802766329202331	0.5662766090984123	0.647987672337113	0.6947792426867707	0.5134776789425715	0.5150707593682656	0.3935261380967514	0.3923367507271301	0.5411405342400939	0.5664015409589692	0.4005910918249762	0.559721545168241	0.5357950592093591	0.34036036648698414	0.0	0.33431911966075345
G3-WF9	0.38920018189721645	0.5583874984398506	0.5730861015490128	0.6318058757393393	0.6636764208811935	0.255592517448568	0.7406297774690139	0.6558331192174262	0.49469502794438414	0.5168428901369129	0.6109967354072902	0.6601551471630098	0.43832424038428114	0.5132551488551504	0.2942760539810159	0.29624673955595937	0.4767041964681199	0.48065701274992495	0.4202943817025169	0.42258437843001845	0.44666905166530035	0.2413385638066892	0.33431911966075345	0.0
