	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J3	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L2	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-B9	0.13026213822040997	0.0	0.06053061817190024	0.11917315951410457	0.24442802479606796	0.13681103653914814	0.4272367999581912	0.0	0.08552110656546331	0.0	0.08552110656546331	0.0	0.08552110656546331	0.383267287067794	0.07898825118559938	0.11917315951410457	0.1076873410233781	0.0	0.028266093019357973	0.06053061817190024	0.15619936356630207	0.11476593167244853	0.21402705986805384	0.05387088668054072	0.009224390971110696	0.21402705986805384	0.15619936356630207	0.15619936356630207	0.1076873410233781	0.17566034967669888	0.21824815412767481	0.1076873410233781	0.244933614325855	0.244933614325855	0.3758675103096318	0.244933614325855	0.244933614325855	0.18028301645993383	0.244933614325855	0.244933614325855	0.244933614325855	0.1347316703654365	0.244933614325855	0.2670712969561179	0.3310120188930665	0.1587841069771262	0.2473659855176157	0.12615027360186212	0.1347316703654365	0.244933614325855	0.244933614325855	0.244933614325855
G4-C1	0.1049629373518237	0.028266093019357973	0.08552110656546331	0.14407069292122607	0.2629347776694843	0.15795372757863343	0.4096585465740322	0.028266093019357973	0.05892046488735514	0.028266093019357973	0.05892046488735514	0.028266093019357973	0.05892046488735514	0.3941363058798654	0.0507221581662414	0.14407069292122607	0.13026213822040997	0.028266093019357973	0.0	0.08552110656546331	0.17641405888599027	0.13710825459255213	0.2339115471577253	0.07921215861007701	0.036978650724689206	0.2339115471577253	0.17641405888599027	0.17641405888599027	0.13026213822040997	0.1503611488081126	0.2356298075091354	0.13026213822040997	0.2638532994582712	0.2638532994582712	0.39165756353491926	0.2638532994582712	0.2638532994582712	0.19976705967715622	0.2638532994582712	0.2638532994582712	0.2638532994582712	0.156412683667494	0.2638532994582712	0.28561380743677756	0.3057128180244802	0.13372712458275815	0.2662247227679034	0.14825797335896776	0.156412683667494	0.2638532994582712	0.2638532994582712	0.2638532994582712
G4-C10	0.17641405888599027	0.06053061817190024	0.0	0.17249015267111759	0.28423583681778447	0.1822887211599886	0.4487020594122082	0.06053061817190024	0.026600641678108175	0.06053061817190024	0.026600641678108175	0.06053061817190024	0.026600641678108175	0.40683748144849585	0.1332546915924598	0.17249015267111759	0.15619936356630207	0.06053061817190024	0.08552110656546331	0.0	0.10183274436069584	0.16278179324232095	0.2567577514101181	0.10823275820658165	0.06867663912442365	0.2567577514101181	0.10183274436069584	0.10183274436069584	0.15619936356630207	0.21940325177983233	0.2557358291455207	0.15619936356630207	0.2856026098150731	0.2856026098150731	0.409799483710475	0.2856026098150731	0.2856026098150731	0.22222882362240529	0.2856026098150731	0.2856026098150731	0.2856026098150731	0.18133630601406633	0.2856026098150731	0.3069181526593635	0.36651131309086044	0.20301763033650697	0.2879039698866162	0.17365852891987288	0.18133630601406633	0.2856026098150731	0.2856026098150731	0.2856026098150731
G4-C2	0.07702089303701427	0.15619936356630207	0.10183274436069584	0.2567577514101181	0.34852601985157367	0.2557358291455207	0.48486293637555766	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.3352526016701454	0.21940325177983233	0.2567577514101181	0.05436661920560623	0.15619936356630207	0.17641405888599027	0.10183274436069584	0.0	0.061184595965171555	0.15492500704942228	0.1948808982769705	0.16277660222996077	0.15492500704942228	0.0	0.0	0.05436661920560623	0.12001008593085631	0.16591548560113095	0.05436661920560623	0.18471602287168495	0.18471602287168495	0.30796673934977914	0.18471602287168495	0.18471602287168495	0.12638155448843572	0.18471602287168495	0.18471602287168495	0.18471602287168495	0.0804497190706782	0.18471602287168495	0.2050854082986677	0.2671181472418844	0.10452603195044606	0.18701738294322806	0.07182578455917703	0.0804497190706782	0.18471602287168495	0.18471602287168495	0.18471602287168495
G4-C3	0.03239554985277297	0.11476593167244853	0.16278179324232095	0.22084556496307997	0.3142362200827094	0.22421459068196692	0.47008712680567394	0.11476593167244853	0.18279351065353622	0.11476593167244853	0.18279351065353622	0.11476593167244853	0.18279351065353622	0.31339374563896444	0.18239822974267345	0.22084556496307997	0.007341965554187965	0.11476593167244853	0.13710825459255213	0.16278179324232095	0.061184595965171555	0.0	0.11342159844763065	0.1574675128327204	0.12204188286428137	0.11342159844763065	0.061184595965171555	0.061184595965171555	0.007341965554187965	0.0776855246255017	0.13007231971958813	0.007341965554187965	0.14073615350129937	0.14073615350129937	0.266378027146153	0.14073615350129937	0.14073615350129937	0.08157095243174416	0.14073615350129937	0.14073615350129937	0.14073615350129937	0.030534216204881285	0.14073615350129937	0.1618404529220459	0.22844342481465732	0.052579367941617224	0.13864100869435966	0.02091942936166234	0.030534216204881285	0.14073615350129937	0.14073615350129937	0.14073615350129937
G4-C4	0.1289486098059016	0.21402705986805384	0.2567577514101181	0.12050142911594983	0.24541173464979157	0.3114119915562631	0.4888646528047481	0.21402705986805384	0.2745633976199441	0.21402705986805384	0.2745633976199441	0.21402705986805384	0.2745633976199441	0.38233586165998695	0.1974785067069926	0.12050142911594983	0.10633971884467575	0.21402705986805384	0.2339115471577253	0.2567577514101181	0.15492500704942228	0.11342159844763065	0.0	0.25202898019634296	0.2205028679782526	0.0	0.15492500704942228	0.15492500704942228	0.10633971884467575	0.08752382339139826	0.2170675072824902	0.10633971884467575	0.03689301337508542	0.03689301337508542	0.18109840378309142	0.03689301337508542	0.03689301337508542	0.1790188760088853	0.03689301337508542	0.03689301337508542	0.03689301337508542	0.13339728213331958	0.03689301337508542	0.2657236747774156	0.2502635867993044	0.15748315448744868	0.03961164396985049	0.12480265142315977	0.13339728213331958	0.03689301337508542	0.03689301337508542	0.03689301337508542
G4-C5	0.17130042391071684	0.05387088668054072	0.10823275820658165	0.16662408242309895	0.27982356174894396	0.17724800066192004	0.44628895883823877	0.05387088668054072	0.13078031527292358	0.05387088668054072	0.13078031527292358	0.05387088668054072	0.13078031527292358	0.34815163781566566	0.12727505545150838	0.16662408242309895	0.15083080416685576	0.05387088668054072	0.07921215861007701	0.10823275820658165	0.1948808982769705	0.1574675128327204	0.25202898019634296	0.0	0.06213230057334219	0.25202898019634296	0.1948808982769705	0.1948808982769705	0.15083080416685576	0.21455653617431328	0.25156227101097234	0.15083080416685576	0.2810998572444712	0.2810998572444712	0.406044418363907	0.2810998572444712	0.2810998572444712	0.21757296618055755	0.2810998572444712	0.2810998572444712	0.2810998572444712	0.17617637667613942	0.2810998572444712	0.30250851973724074	0.3625779896280572	0.19811433879483753	0.28341572248515456	0.16840105093257335	0.17617637667613942	0.2810998572444712	0.2810998572444712	0.2810998572444712
G4-C9	0.13724826740167673	0.009224390971110696	0.06867663912442365	0.12729825066859463	0.25045178738951684	0.14369277058939528	0.4304412845731073	0.009224390971110696	0.09324129349319243	0.009224390971110696	0.09324129349319243	0.009224390971110696	0.09324129349319243	0.3867883176769832	0.08724603446473461	0.12729825066859463	0.11503930603233091	0.009224390971110696	0.036978650724689206	0.06867663912442365	0.16277660222996077	0.12204188286428137	0.2205028679782526	0.06213230057334219	0.0	0.2205028679782526	0.16277660222996077	0.16277660222996077	0.11503930603233091	0.18228181982244526	0.2238968831101561	0.11503930603233091	0.251094181647855	0.251094181647855	0.38100987849077667	0.251094181647855	0.251094181647855	0.18662170202767006	0.251094181647855	0.251094181647855	0.251094181647855	0.14179137252864296	0.251094181647855	0.2731100616476508	0.3363856339351494	0.16547695663673265	0.25350670718529544	0.1333501183501483	0.14179137252864296	0.251094181647855	0.251094181647855	0.251094181647855
G4-D1	0.1289486098059016	0.21402705986805384	0.2567577514101181	0.12050142911594983	0.24541173464979157	0.3114119915562631	0.4888646528047481	0.21402705986805384	0.2745633976199441	0.21402705986805384	0.2745633976199441	0.21402705986805384	0.2745633976199441	0.38233586165998695	0.1974785067069926	0.12050142911594983	0.10633971884467575	0.21402705986805384	0.2339115471577253	0.2567577514101181	0.15492500704942228	0.11342159844763065	0.0	0.25202898019634296	0.2205028679782526	0.0	0.15492500704942228	0.15492500704942228	0.10633971884467575	0.08752382339139826	0.2170675072824902	0.10633971884467575	0.03689301337508542	0.03689301337508542	0.18109840378309142	0.03689301337508542	0.03689301337508542	0.1790188760088853	0.03689301337508542	0.03689301337508542	0.03689301337508542	0.13339728213331958	0.03689301337508542	0.2657236747774156	0.2502635867993044	0.15748315448744868	0.03961164396985049	0.12480265142315977	0.13339728213331958	0.03689301337508542	0.03689301337508542	0.03689301337508542
G4-D10	0.07702089303701427	0.15619936356630207	0.10183274436069584	0.2567577514101181	0.34852601985157367	0.2557358291455207	0.48486293637555766	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.3352526016701454	0.21940325177983233	0.2567577514101181	0.05436661920560623	0.15619936356630207	0.17641405888599027	0.10183274436069584	0.0	0.061184595965171555	0.15492500704942228	0.1948808982769705	0.16277660222996077	0.15492500704942228	0.0	0.0	0.05436661920560623	0.12001008593085631	0.16591548560113095	0.05436661920560623	0.18471602287168495	0.18471602287168495	0.30796673934977914	0.18471602287168495	0.18471602287168495	0.12638155448843572	0.18471602287168495	0.18471602287168495	0.18471602287168495	0.0804497190706782	0.18471602287168495	0.2050854082986677	0.2671181472418844	0.10452603195044606	0.18701738294322806	0.07182578455917703	0.0804497190706782	0.18471602287168495	0.18471602287168495	0.18471602287168495
G4-D2	0.07702089303701427	0.15619936356630207	0.10183274436069584	0.2567577514101181	0.34852601985157367	0.2557358291455207	0.48486293637555766	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.15619936356630207	0.1233498855370828	0.3352526016701454	0.21940325177983233	0.2567577514101181	0.05436661920560623	0.15619936356630207	0.17641405888599027	0.10183274436069584	0.0	0.061184595965171555	0.15492500704942228	0.1948808982769705	0.16277660222996077	0.15492500704942228	0.0	0.0	0.05436661920560623	0.12001008593085631	0.16591548560113095	0.05436661920560623	0.18471602287168495	0.18471602287168495	0.30796673934977914	0.18471602287168495	0.18471602287168495	0.12638155448843572	0.18471602287168495	0.18471602287168495	0.18471602287168495	0.0804497190706782	0.18471602287168495	0.2050854082986677	0.2671181472418844	0.10452603195044606	0.18701738294322806	0.07182578455917703	0.0804497190706782	0.18471602287168495	0.18471602287168495	0.18471602287168495
G4-D3	0.02529920086858628	0.1076873410233781	0.15619936356630207	0.21402705986805384	0.31571207312839883	0.21824815412767481	0.46616897800409285	0.1076873410233781	0.17641405888599027	0.1076873410233781	0.17641405888599027	0.1076873410233781	0.17641405888599027	0.30883787568415066	0.17566034967669888	0.21402705986805384	0.0	0.1076873410233781	0.13026213822040997	0.15619936356630207	0.05436661920560623	0.007341965554187965	0.10633971884467575	0.15083080416685576	0.11503930603233091	0.10633971884467575	0.05436661920560623	0.05436661920560623	0.0	0.0706974123248752	0.1239036698539019	0.0	0.13830378670760776	0.13830378670760776	0.26818016928625366	0.13830378670760776	0.13830378670760776	0.07926662922252974	0.13830378670760776	0.13830378670760776	0.13830378670760776	0.028101842747189257	0.13830378670760776	0.15938395593273985	0.22604908154124276	0.05482610107222386	0.14073615789936844	0.018462932578484026	0.028101842747189257	0.13830378670760776	0.13830378670760776	0.13830378670760776
G4-D4	0.04539821145628891	0.17566034967669888	0.21940325177983233	0.1974785067069926	0.3031224806376067	0.27552808163805736	0.4331197036278111	0.17566034967669888	0.19544653209172552	0.17566034967669888	0.19544653209172552	0.17566034967669888	0.19544653209172552	0.3526432233590226	0.10995468331559434	0.1974785067069926	0.0706974123248752	0.17566034967669888	0.1503611488081126	0.21940325177983233	0.12001008593085631	0.0776855246255017	0.08752382339139826	0.21455653617431328	0.18228181982244526	0.08752382339139826	0.12001008593085631	0.12001008593085631	0.0706974123248752	0.0	0.183281274693424	0.0706974123248752	0.12034277126640652	0.12034277126640652	0.2527718024653143	0.12034277126640652	0.12034277126640652	0.14380450968900493	0.12034277126640652	0.12034277126640652	0.12034277126640652	0.09741823969898872	0.12034277126640652	0.22604908154124276	0.1627397634079061	0.07473268061425285	0.12282584229397946	0.08869324746343299	0.09741823969898872	0.12034277126640652	0.12034277126640652	0.12034277126640652
G4-D5	0.14338300056450204	0.21824815412767481	0.2557358291455207	0.3114119915562631	0.19180840327449697	0.09434448427377291	0.3768998589524089	0.21824815412767481	0.27150724830791484	0.21824815412767481	0.27150724830791484	0.21824815412767481	0.27150724830791484	0.21108889452762472	0.27552808163805736	0.3114119915562631	0.1239036698539019	0.21824815412767481	0.2356298075091354	0.2557358291455207	0.16591548560113095	0.13007231971958813	0.2170675072824902	0.25156227101097234	0.2238968831101561	0.2170675072824902	0.16591548560113095	0.16591548560113095	0.1239036698539019	0.183281274693424	0.0	0.1239036698539019	0.24415142251664396	0.24415142251664396	0.3588553319835481	0.24415142251664396	0.24415142251664396	0.18710952085355884	0.24415142251664396	0.24415142251664396	0.24415142251664396	0.14748628543762246	0.24415142251664396	0.2635393687307427	0.31981228078268725	0.1683681458586316	0.24628501005810385	0.14007897732964658	0.14748628543762246	0.24415142251664396	0.24415142251664396	0.24415142251664396
G4-D9	0.02529920086858628	0.1076873410233781	0.15619936356630207	0.21402705986805384	0.31571207312839883	0.21824815412767481	0.46616897800409285	0.1076873410233781	0.17641405888599027	0.1076873410233781	0.17641405888599027	0.1076873410233781	0.17641405888599027	0.30883787568415066	0.17566034967669888	0.21402705986805384	0.0	0.1076873410233781	0.13026213822040997	0.15619936356630207	0.05436661920560623	0.007341965554187965	0.10633971884467575	0.15083080416685576	0.11503930603233091	0.10633971884467575	0.05436661920560623	0.05436661920560623	0.0	0.0706974123248752	0.1239036698539019	0.0	0.13830378670760776	0.13830378670760776	0.26818016928625366	0.13830378670760776	0.13830378670760776	0.07926662922252974	0.13830378670760776	0.13830378670760776	0.13830378670760776	0.028101842747189257	0.13830378670760776	0.15938395593273985	0.22604908154124276	0.05482610107222386	0.14073615789936844	0.018462932578484026	0.028101842747189257	0.13830378670760776	0.13830378670760776	0.13830378670760776
G4-J1	0.15989529355336884	0.244933614325855	0.2856026098150731	0.15607182648528908	0.27092604792921804	0.33768322906202064	0.5072718719239693	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.40261643640738387	0.22919516868454462	0.15607182648528908	0.13830378670760776	0.244933614325855	0.2638532994582712	0.2856026098150731	0.18471602287168495	0.14073615350129937	0.03689301337508542	0.2810998572444712	0.251094181647855	0.03689301337508542	0.18471602287168495	0.18471602287168495	0.13830378670760776	0.12034277126640652	0.24415142251664396	0.13830378670760776	0.0	0.0	0.16853753878812033	0.0	0.0	0.15981246172190275	0.0	0.0	0.0	0.11225413162038649	0.0	0.25567492558188976	0.23978421329364114	0.1373164874315106	0.002790964229925189	0.12225722462341317	0.11225413162038649	0.0	0.0	0.0
G4-J2	0.15989529355336884	0.244933614325855	0.2856026098150731	0.15607182648528908	0.27092604792921804	0.33768322906202064	0.5072718719239693	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.40261643640738387	0.22919516868454462	0.15607182648528908	0.13830378670760776	0.244933614325855	0.2638532994582712	0.2856026098150731	0.18471602287168495	0.14073615350129937	0.03689301337508542	0.2810998572444712	0.251094181647855	0.03689301337508542	0.18471602287168495	0.18471602287168495	0.13830378670760776	0.12034277126640652	0.24415142251664396	0.13830378670760776	0.0	0.0	0.16853753878812033	0.0	0.0	0.15981246172190275	0.0	0.0	0.0	0.11225413162038649	0.0	0.25567492558188976	0.23978421329364114	0.1373164874315106	0.002790964229925189	0.12225722462341317	0.11225413162038649	0.0	0.0	0.0
G4-J3	0.28669462618309555	0.3758675103096318	0.409799483710475	0.30159983289904124	0.3941514414168693	0.453199816257321	0.5941130279114086	0.3758675103096318	0.423938752038999	0.3758675103096318	0.423938752038999	0.3758675103096318	0.423938752038999	0.4941938511874219	0.3627264857809086	0.30159983289904124	0.26818016928625366	0.3758675103096318	0.39165756353491926	0.409799483710475	0.30796673934977914	0.266378027146153	0.18109840378309142	0.406044418363907	0.38100987849077667	0.18109840378309142	0.30796673934977914	0.30796673934977914	0.26818016928625366	0.2527718024653143	0.3588553319835481	0.26818016928625366	0.16853753878812033	0.16853753878812033	0.0	0.16853753878812033	0.16853753878812033	0.3014156015437429	0.16853753878812033	0.16853753878812033	0.16853753878812033	0.2618726353464092	0.16853753878812033	0.1294243836069452	0.10753172684261966	0.27896259847136584	0.16621046201231085	0.2544144739880006	0.2618726353464092	0.16853753878812033	0.16853753878812033	0.16853753878812033
G4-J4	0.15989529355336884	0.244933614325855	0.2856026098150731	0.15607182648528908	0.27092604792921804	0.33768322906202064	0.5072718719239693	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.244933614325855	0.3025619859493599	0.40261643640738387	0.22919516868454462	0.15607182648528908	0.13830378670760776	0.244933614325855	0.2638532994582712	0.2856026098150731	0.18471602287168495	0.14073615350129937	0.03689301337508542	0.2810998572444712	0.251094181647855	0.03689301337508542	0.18471602287168495	0.18471602287168495	0.13830378670760776	0.12034277126640652	0.24415142251664396	0.13830378670760776	0.0	0.0	0.16853753878812033	0.0	0.0	0.15981246172190275	0.0	0.0	0.0	0.11225413162038649	0.0	0.25567492558188976	0.23978421329364114	0.1373164874315106	0.002790964229925189	0.12225722462341317	0.11225413162038649	0.0	0.0	0.0
