	G2-31	G2-32	G2-33	G2-34	G2-35	G2-36	G2-71	G2-72	G2-73	G2-74	G2-75	G2-76	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G2-75	0.2377825192319943	0.22769933898835937	0.23925860381783226	0.20908248315549693	0.2144723870365365	0.24012899691781234	0.0924860691995547	0.10571553139986638	0.08703337625556673	0.13426964786503107	0.0	0.01620696113679876	0.23790052024487968	0.09269006167841892	0.17680986761876696	0.11131734084856969	0.18799271559318	0.16298783947723855	0.22334793749863485	0.18315997419772795	0.1667455280290267	0.13881245158290056	0.17197676444790455	0.3359495756937056	0.26146543994829646	0.1740392868823483	0.18421688040652967	0.15346440861049498	0.16134808818861737	0.19245105309703547	0.15067575397275412	0.11608076126190542	0.10219973930636857	0.1817857528088973	0.14133884803188226	0.17268931522162947
G2-76	0.22574285773449082	0.21311737533400804	0.22592811390022519	0.19472912058129227	0.20195906824300944	0.22478295262108255	0.07864936038114698	0.08972667966511479	0.07160596202040198	0.11895926412275566	0.01620696113679876	0.0	0.24017868372185883	0.10108252599267187	0.18240532122973968	0.11634040007963872	0.19307195037198271	0.16702059652424475	0.22881505294482932	0.1887186165347969	0.1722420805773899	0.13569765502750186	0.17473978520029285	0.3420582282237036	0.26672869137343685	0.17991899148947438	0.1865612922595812	0.1592833824986992	0.16661133961375776	0.19584765438243565	0.15420149317190313	0.12172773476707098	0.10784671281153414	0.16591121304884074	0.14638517409963261	0.15890648412727537
G3-PF1	0.3013962366294021	0.2948646980636674	0.30139097287944605	0.2859257802696197	0.2872653955936945	0.30158340982133613	0.2515100855249738	0.2523796245710132	0.24913703656131772	0.25785848281284124	0.23790052024487968	0.24017868372185883	0.0	0.17308004415467493	0.15308431983958737	0.17944506238917293	0.15550704303682714	0.14576459629063446	0.23938049622015675	0.1739374703196851	0.1520041005436274	0.1572474351001916	0.1587638161438578	0.31851034868892847	0.2422325546803798	0.15671919687478572	0.09389784625350972	0.16494073928092423	0.16434299799330093	0.12565754244744393	0.14141573904689883	0.16358304107162777	0.17544884534800778	0.17431354459583934	0.14788475164378742	0.14704419030257726
G3-PF10	0.2424565557016365	0.2310097739213995	0.24292804342178387	0.2130434839551348	0.21864315571564433	0.2441894678244251	0.14019722104030347	0.14674482465658178	0.13612938135644215	0.1631177463700769	0.09269006167841892	0.10108252599267187	0.17308004415467493	0.0	0.10518246224059204	0.04770868456156962	0.12080607673556018	0.09024103142583136	0.19151114844270772	0.10221001294114249	0.10710032450199856	0.0767324852506761	0.10999981794931352	0.3118710309716011	0.24632205097561616	0.10856907941272813	0.12067112225637548	0.07526973318388604	0.09474780705374601	0.12253203893663027	0.08516312908351144	0.0359618524089951	0.03952189193888222	0.12162790216919599	0.06954317268109983	0.0987701617669234
G3-PF11	0.28138617994736054	0.2769335490085527	0.28254016075147775	0.2680056116155782	0.26374075392107105	0.28447146452447786	0.2090202189007746	0.21603633010220025	0.20546505238610888	0.23158719148796747	0.17680986761876696	0.18240532122973968	0.15308431983958737	0.10518246224059204	0.0	0.10373221767400756	0.056000614546263754	0.037051384262637946	0.1860761843274079	0.07144316435820536	0.04166824466028957	0.05820885850069992	0.07205895557075873	0.28018497050714636	0.2170366383523959	0.08096544876431959	0.06405046076236834	0.040887511803352566	0.04506108888754967	0.06603663194832679	0.03940931408056709	0.08023359196103869	0.0948561184631954	0.09513387307897216	0.048245444143134586	0.0857351924852012
G3-PF12	0.24482484407847496	0.23396771743959854	0.2459288284997825	0.21609479074547672	0.21632694221476892	0.24724077461476687	0.14782435216575035	0.1547630760522253	0.14405930158398905	0.1702236691345493	0.11131734084856969	0.11634040007963872	0.17944506238917293	0.04770868456156962	0.10373221767400756	0.0	0.1047962145022191	0.10634065573690571	0.1595470203159111	0.1005956986479809	0.11245004644784659	0.08298768110286205	0.09387312591787338	0.29614910542548073	0.23097245054088175	0.09750380024651033	0.1300641674238383	0.08717355928441257	0.08587100394008455	0.11025701630856992	0.09663232210636166	0.04675583431153454	0.03655732037119047	0.13370728143660318	0.08945810938530431	0.11313839848572813
G3-PF13	0.27914182298650353	0.2746891920476956	0.28029580379062063	0.26576125465472106	0.26149639696021393	0.28222710756362085	0.20730461091905267	0.21434280491250238	0.20363903044426612	0.22985957354256	0.18799271559318	0.19307195037198271	0.15550704303682714	0.12080607673556018	0.056000614546263754	0.1047962145022191	0.0	0.07577920477238703	0.16408588617462402	0.06694067446680725	0.07160229009933132	0.07441391116726787	0.06000168989145379	0.27019189685414463	0.20334681322128567	0.07260511494571834	0.08043830167313229	0.07734999670826509	0.06713239680977487	0.05927363020777687	0.06831183736003615	0.09699937090896688	0.11468447060160054	0.10536067756668129	0.07468014450517603	0.0924419952906069
G3-PF14	0.27861444782364325	0.2731916321748265	0.2786091840736872	0.26402411330063225	0.26460859574922524	0.2804899662095318	0.20485840253458795	0.21158925318225133	0.20101797546615993	0.22791249075210848	0.16298783947723855	0.16702059652424475	0.14576459629063446	0.09024103142583136	0.037051384262637946	0.10634065573690571	0.07577920477238703	0.0	0.21632280388862618	0.08686128617686713	0.027269587945840397	0.051619817698160396	0.09386365757837953	0.30406978221067776	0.23286952171002956	0.09296846495377371	0.058247949909678	0.032736311226529646	0.043982625668915094	0.07597929919005654	0.025526511058331657	0.0821564718727064	0.09764450378655169	0.08918701060124401	0.028496240288989595	0.07514418329425049
G3-PF2	0.280617033347333	0.276180628271691	0.2817210177686404	0.26716935042934165	0.26295409912158524	0.2838355540790291	0.2378404618369576	0.24076738355512425	0.23701142164446448	0.24549587988976246	0.22334793749863485	0.22881505294482932	0.23938049622015675	0.19151114844270772	0.1860761843274079	0.1595470203159111	0.16408588617462402	0.21632280388862618	0.0	0.16463913969516314	0.21672712306103672	0.19120823452195948	0.16165555984118027	0.21505558948359946	0.20564002295566983	0.15038262376078235	0.2180309260065169	0.19947567806457672	0.19669211618331797	0.186576645845556	0.2079400631004432	0.1721588787395676	0.1619547331452407	0.2386092814280082	0.20496959765736952	0.21527210220604062
G3-PF3	0.27938252226243265	0.2749298913236247	0.2803363716189884	0.2660019539306502	0.2617868312896304	0.28246780683955	0.20492218582487395	0.21349563921094963	0.20285811311878585	0.22917162317712642	0.18315997419772795	0.1887186165347969	0.1739374703196851	0.10221001294114249	0.07144316435820536	0.1005956986479809	0.06694067446680725	0.08686128617686713	0.16463913969516314	0.0	0.09394271424885066	0.08076619771836789	0.07336816154993693	0.264107601242821	0.20236694822078696	0.06991781317024567	0.10295492314839695	0.0597554092176354	0.06780594891057774	0.07533965644670916	0.08167313370718507	0.07791157105913565	0.09303813449933317	0.10503061396881873	0.0786525719889199	0.0984379822126611
G3-PF4	0.27607561911875794	0.27180969516185843	0.2771767254235637	0.2626421762876641	0.26201432370048205	0.2791080291965638	0.20341903663471408	0.21013662572213287	0.19956534800604148	0.226682861775384	0.1667455280290267	0.1722420805773899	0.1520041005436274	0.10710032450199856	0.04166824466028957	0.11245004644784659	0.07160229009933132	0.027269587945840397	0.21672712306103672	0.09394271424885066	0.0	0.05055705903834024	0.08989099335983157	0.2986913424277428	0.2331834135821031	0.09254078808205632	0.06424462275048372	0.050432974349527385	0.04404159737121531	0.07681623250365341	0.02909125617268477	0.08772438698810144	0.10907271209890734	0.09160776647797124	0.04277310593901324	0.08133593474271969
G3-PF5	0.24382142462645132	0.2383596075043957	0.24376616449368554	0.22902506986640886	0.22979571166585747	0.2457244301682961	0.16926204882046758	0.17609423712465172	0.16548514987761917	0.19120088376030758	0.13881245158290056	0.13569765502750186	0.1572474351001916	0.0767324852506761	0.05820885850069992	0.08298768110286205	0.07441391116726787	0.051619817698160396	0.19120823452195948	0.08076619771836789	0.05055705903834024	0.0	0.06838068214228774	0.29709043821068293	0.23186918138154522	0.0727338892238726	0.07126388776863866	0.04780355715285551	0.04719003660123121	0.07901450055864635	0.031587746749124415	0.06125598546038883	0.08409799716693375	0.07296425945121388	0.030634038116643884	0.06710703157274471
G3-PF6	0.2598645306525456	0.2552736839859643	0.2609685148232265	0.24651695976742316	0.24228513003331636	0.2630830513341165	0.1875155515406829	0.19455374553413263	0.18419145512110952	0.21012668956154767	0.17197676444790455	0.17473978520029285	0.1587638161438578	0.10999981794931352	0.07205895557075873	0.09387312591787338	0.06000168989145379	0.09386365757837953	0.16165555984118027	0.07336816154993693	0.08989099335983157	0.06838068214228774	0.0	0.2717483322306174	0.20402596708682158	0.05965588973838271	0.09718536888782128	0.08149949497717669	0.07694555307273146	0.06396078246154364	0.07631329572052327	0.08326841627039662	0.09827003322184394	0.10934841606431965	0.07815209610326393	0.08804246839330543
G3-PF7	0.3668818623116992	0.3674551601849226	0.3681382822699986	0.3652663408350483	0.3577084110289725	0.37057228794192815	0.35126599897861904	0.3541929206967857	0.3504369587861258	0.35765625549778096	0.3359495756937056	0.3420582282237036	0.31851034868892847	0.3118710309716011	0.28018497050714636	0.29614910542548073	0.27019189685414463	0.30406978221067776	0.21505558948359946	0.264107601242821	0.2986913424277428	0.29709043821068293	0.2717483322306174	0.0	0.1899683474878289	0.250250204314245	0.30666578521197124	0.28748996945543925	0.28305693326199505	0.28345754091944964	0.3021002552659719	0.29320675375139077	0.28473470395414574	0.32365229581425586	0.3055524705286414	0.31838312240671995
G3-PF8	0.2913992479898225	0.2922805404675654	0.292872409857139	0.2909312723900021	0.2831923146462049	0.29513950522998217	0.2758334223399666	0.2787603440581332	0.2750043821474734	0.28282820821267624	0.26146543994829646	0.26672869137343685	0.2422325546803798	0.24632205097561616	0.2170366383523959	0.23097245054088175	0.20334681322128567	0.23286952171002956	0.20564002295566983	0.20236694822078696	0.2331834135821031	0.23186918138154522	0.20402596708682158	0.1899683474878289	0.0	0.1918138581047718	0.23762237184908358	0.22551939283426972	0.21571309808930822	0.20145569202603178	0.22405190129560335	0.2265812676119599	0.22300058617642815	0.25251678228650276	0.2336994406991018	0.23589078663385837
G3-PF9	0.26347031511280633	0.25925726497852675	0.2647578204450318	0.25007316757773135	0.24589120166409925	0.2666390042345718	0.1915628558379103	0.19860104983135995	0.18856866479230788	0.21417399400915108	0.1740392868823483	0.17991899148947438	0.15671919687478572	0.10856907941272813	0.08096544876431959	0.09750380024651033	0.07260511494571834	0.09296846495377371	0.15038262376078235	0.06991781317024567	0.09254078808205632	0.0727338892238726	0.05965588973838271	0.250250204314245	0.1918138581047718	0.0	0.0920888671496893	0.07983049569336231	0.07956086044509207	0.0781437440797076	0.08148204707425717	0.08545223666759211	0.0975337440642832	0.110980589807839	0.07972985926261476	0.09654943455678547
G3-WF1	0.28211795383215726	0.2755864152664225	0.2821126900822011	0.266647497472375	0.26800369114761197	0.2823051270240913	0.20872631755925977	0.21366296329653406	0.20367130785747936	0.23067168280973707	0.18421688040652967	0.1865612922595812	0.09389784625350972	0.12067112225637548	0.06405046076236834	0.1300641674238383	0.08043830167313229	0.058247949909678	0.2180309260065169	0.10295492314839695	0.06424462275048372	0.07126388776863866	0.09718536888782128	0.30666578521197124	0.23762237184908358	0.0920888671496893	0.0	0.0781975666174267	0.08116057038367233	0.06571068437151158	0.05730024705883005	0.10823137806090982	0.12250945896359354	0.09756417737941057	0.06371773968633786	0.08217517689990952
G3-WF10	0.26888598616194637	0.2646729367043582	0.2700399669660636	0.25520708295400935	0.2509256147228587	0.2719712707390638	0.19591674353296562	0.20293285473439115	0.19236157701829976	0.21858675590854398	0.15346440861049498	0.1592833824986992	0.16494073928092423	0.07526973318388604	0.040887511803352566	0.08717355928441257	0.07734999670826509	0.032736311226529646	0.19947567806457672	0.0597554092176354	0.050432974349527385	0.04780355715285551	0.08149949497717669	0.28748996945543925	0.22551939283426972	0.07983049569336231	0.0781975666174267	0.0	0.02842137343093882	0.07970993990354024	0.03530306450290625	0.057514794417626684	0.07980485576587375	0.08358832148838156	0.03119052770533794	0.0872242047429124
G3-WF2	0.2705356677298841	0.26608303679107614	0.27168964853400135	0.2571550993981018	0.25289024170359486	0.2736209523070014	0.19723111622909703	0.20424722743052248	0.19367594971443108	0.21933278968156739	0.16134808818861737	0.16661133961375776	0.16434299799330093	0.09474780705374601	0.04506108888754967	0.08587100394008455	0.06713239680977487	0.043982625668915094	0.19669211618331797	0.06780594891057774	0.04404159737121531	0.04719003660123121	0.07694555307273146	0.28305693326199505	0.21571309808930822	0.07956086044509207	0.08116057038367233	0.02842137343093882	0.0	0.07144752361703978	0.03683736611454309	0.06897646389109481	0.09047736390185959	0.08102009166737803	0.044193025221646115	0.09067698240460989
G3-WF3	0.2794071593730781	0.2749545284342702	0.2803610088048216	0.26602659104129567	0.2617617333467886	0.2824924439501953	0.2063708549697358	0.21338696617116149	0.20446710252991407	0.22850590019708286	0.19245105309703547	0.19584765438243565	0.12565754244744393	0.12253203893663027	0.06603663194832679	0.11025701630856992	0.05927363020777687	0.07597929919005654	0.186576645845556	0.07533965644670916	0.07681623250365341	0.07901450055864635	0.06396078246154364	0.28345754091944964	0.20145569202603178	0.0781437440797076	0.06571068437151158	0.07970993990354024	0.07144752361703978	0.0	0.06642441330571182	0.09387389766613748	0.11391117759878196	0.10546600546358956	0.07819758564789688	0.07565493478283401
G3-WF4	0.2628707740984967	0.2569852999563731	0.26286551039866585	0.2478510021554661	0.24877315413607626	0.2642504129177913	0.18878052953311852	0.1952170184575075	0.18464574074141613	0.21024969132607524	0.15067575397275412	0.15420149317190313	0.14141573904689883	0.08516312908351144	0.03940931408056709	0.09663232210636166	0.06831183736003615	0.025526511058331657	0.2079400631004432	0.08167313370718507	0.02909125617268477	0.031587746749124415	0.07631329572052327	0.3021002552659719	0.22405190129560335	0.08148204707425717	0.05730024705883005	0.03530306450290625	0.03683736611454309	0.06642441330571182	0.0	0.06949277639462367	0.09196215319252657	0.07686104927611888	0.020350305471881734	0.06355793620252799
G3-WF5	0.2392800137097663	0.2311159529117031	0.240567551227473	0.21645987748661472	0.21485605329822435	0.241986051439845	0.15495101592307509	0.16162652849145928	0.1510552507753679	0.17819275832184617	0.11608076126190542	0.12172773476707098	0.16358304107162777	0.0359618524089951	0.08023359196103869	0.04675583431153454	0.09699937090896688	0.0821564718727064	0.1721588787395676	0.07791157105913565	0.08772438698810144	0.06125598546038883	0.08326841627039662	0.29320675375139077	0.2265812676119599	0.08545223666759211	0.10823137806090982	0.057514794417626684	0.06897646389109481	0.09387389766613748	0.06949277639462367	0.0	0.0398905687240004	0.10889954827857581	0.05883241623685005	0.0842107140152205
G3-WF6	0.24315766106771639	0.23248533481597844	0.2442450672130494	0.2145104994905305	0.21459344579936057	0.2455570132528459	0.13926018482301702	0.14593569739140122	0.13536441967530985	0.16250192722178813	0.10219973930636857	0.10784671281153414	0.17544884534800778	0.03952189193888222	0.0948561184631954	0.03655732037119047	0.11468447060160054	0.09764450378655169	0.1619547331452407	0.09303813449933317	0.10907271209890734	0.08409799716693375	0.09827003322184394	0.28473470395414574	0.22300058617642815	0.0975337440642832	0.12250945896359354	0.07980485576587375	0.09047736390185959	0.11391117759878196	0.09196215319252657	0.0398905687240004	0.0	0.1306137788267888	0.08586357924350223	0.11143899284725681
G3-WF7	0.20034047307618041	0.19353224696243307	0.20015075096088247	0.1845933291683854	0.18713192386718153	0.2001587295374309	0.12102835162023325	0.12568830980949475	0.11569665437044006	0.1429263910995889	0.1817857528088973	0.16591121304884074	0.17431354459583934	0.12162790216919599	0.09513387307897216	0.13370728143660318	0.10536067756668129	0.08918701060124401	0.2386092814280082	0.10503061396881873	0.09160776647797124	0.07296425945121388	0.10934841606431965	0.32365229581425586	0.25251678228650276	0.110980589807839	0.09756417737941057	0.08358832148838156	0.08102009166737803	0.10546600546358956	0.07686104927611888	0.10889954827857581	0.1306137788267888	0.0	0.07993572212449057	0.06990288354165444
G3-WF8	0.25756922701044804	0.25313789749010085	0.25830479668018436	0.24397037861590654	0.24378940707137975	0.26043623162505686	0.1852394014509452	0.1919149140193294	0.18134363630323808	0.2083781040613306	0.14133884803188226	0.14638517409963261	0.14788475164378742	0.06954317268109983	0.048245444143134586	0.08945810938530431	0.07468014450517603	0.028496240288989595	0.20496959765736952	0.0786525719889199	0.04277310593901324	0.030634038116643884	0.07815209610326393	0.3055524705286414	0.2336994406991018	0.07972985926261476	0.06371773968633786	0.03119052770533794	0.044193025221646115	0.07819758564789688	0.020350305471881734	0.05883241623685005	0.08586357924350223	0.07993572212449057	0.0	0.06282423813858926
G3-WF9	0.23500264418007713	0.22905072789137906	0.2349973804802463	0.2198832090171848	0.22087180314436947	0.23634906192608446	0.16007883916567844	0.16651532809006744	0.15594405037397602	0.18206618947583456	0.17268931522162947	0.15890648412727537	0.14704419030257726	0.0987701617669234	0.0857351924852012	0.11313839848572813	0.0924419952906069	0.07514418329425049	0.21527210220604062	0.0984379822126611	0.08133593474271969	0.06710703157274471	0.08804246839330543	0.31838312240671995	0.23589078663385837	0.09654943455678547	0.08217517689990952	0.0872242047429124	0.09067698240460989	0.07565493478283401	0.06355793620252799	0.0842107140152205	0.11143899284725681	0.06990288354165444	0.06282423813858926	0.0
