	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-B11	0.10356298225906742	0.019729812863549585	0.08919396809705792	0.1003608979035777	0.12602573663783387	0.10028912753063794	0.15292291793865986	0.11042830699863945	0.1044552311595914	0.01765904949815402	0.0	0.09744415531764154	0.10519066387598414	0.09839614219392886	0.1050867824184565	0.10129126750611554	0.10673288803728574	0.010889309290664092	0.10503072108381639	0.01781980423098096	0.10569084398121256	0.10314280277808373	0.10728273005821745	0.10497235768169998	0.0703268949746287	0.10167113002632135	0.012158995436757948	0.10072727923507796	0.10115651153221707	0.10118785856031627	0.10201742501307504	0.0784641374079582	0.2238834943069725	0.20839395646370268	0.19410222967657959	0.215216311307533	0.1417714403689399	0.2308005763198554	0.16241708997123958	0.18517670680681428	0.156782057191209	0.1614523406498148	0.22223035708073655	0.10749083776040028	0.20596174140050655	0.13146241022419494	0.1879521639285021	0.23925631605795486	0.2401358789296666	0.21771979111048412
G4-B2	0.026661482006470203	0.10217379545875127	0.08021201134983175	0.017212695935736037	0.09625525433231652	0.01028647394902251	0.16646401750851575	0.0573000801512738	0.020084260059994478	0.0951466356910263	0.09744415531764154	0.0	0.035518736239285316	0.09649332532777831	0.032192506487449424	0.011531170691743056	0.041630370030582176	0.10665131158177185	0.03594855137189616	0.10089325483768243	0.01756926863402255	0.0423076467724757	0.042215824125681305	0.03233906237908769	0.03191610524751018	0.008699883198976754	0.108721867487964	0.039735220181348264	0.014692427461638556	0.01597196037672494	0.02832985125701464	0.020012692767194706	0.18387875188185607	0.16838921403858628	0.15409748725146324	0.1752115688824166	0.1949490168571999	0.19079583389473903	0.12241234737469463	0.1451719643816979	0.13712437451954035	0.12144759802469843	0.18222561465562018	0.15537946780659287	0.16595699897539012	0.1843344098031249	0.16590998896064713	0.1992515736328384	0.20013113650455022	0.17771504868536772
G4-B3	0.010852992813564994	0.11040110313185719	0.05471261861597437	0.04979691639705649	0.10160684144118605	0.03764964038893014	0.17263571074291728	0.03307214568654423	0.01944869638121247	0.10650062168068315	0.10519066387598414	0.035518736239285316	0.0	0.10582609564025136	0.011398908383421781	0.043832338761693485	0.019137743247912495	0.11497672120393097	0.0137410308505605	0.09945200280938689	0.030403218855508122	0.020463171233184592	0.019667033845615516	0.01133424325092149	0.04358148240899889	0.04084720330804518	0.11616451817783717	0.015167007784564833	0.04641914817667284	0.048356098670103806	0.045789028999324466	0.040792518917249644	0.2165842454673363	0.2012947897062938	0.18700306291917074	0.20791706246789682	0.2300633630003565	0.22370140956244655	0.15531792304240216	0.17787745796717816	0.1722387206626969	0.15435317369240592	0.21493110824110037	0.18956798670786346	0.19866249256087032	0.21906678480961905	0.20075695530813994	0.23215714930054598	0.23303671217225774	0.21062062435307521
G4-B4	0.10264028642489938	0.10919328672039705	0.13328983855890209	0.09885229460428771	0.03967740307949636	0.08938255835627608	0.07579256462351237	0.11697650259567179	0.10235848444525283	0.1023192285834092	0.09839614219392886	0.09649332532777831	0.10582609564025136	0.0	0.1035556949748799	0.09814238350084496	0.10457441204476517	0.1072537330877239	0.10399087732876161	0.10540592811919268	0.1056580969364334	0.10211738905859187	0.1062653700474493	0.10424974455833064	0.0922926537283706	0.10006069353107988	0.10898285884401146	0.10110181620841797	0.09928922187995365	0.09898792954742003	0.07118980150712917	0.09193849629806478	0.23082818725421494	0.21553873149317238	0.20124700470604936	0.22216100425477545	0.23106138902901324	0.2379453513493252	0.1695618648292808	0.1921213997540568	0.17986064659077688	0.16859711547928458	0.22917505002797905	0.19117716655518024	0.21290643434774897	0.21994054482001402	0.20874195222737452	0.24640109108742458	0.24728065395913634	0.22486456613995387
G4-B5	0.006514639558873832	0.1093543410993844	0.05282197211068986	0.04474168909165231	0.09937769378672084	0.03408510644636617	0.16989203370082154	0.028541992534131637	0.014129109506943899	0.10252367876135389	0.1050867824184565	0.032192506487449424	0.011398908383421781	0.1035556949748799	0.0	0.039171322588665645	0.010675753792349883	0.11398680389822784	0.004800657133649666	0.10828779993617466	0.03782914501038082	0.014670922280314544	0.01043749380261186	0.0030621536515887744	0.03926710285632032	0.03563433329531104	0.11657989133879858	0.012244481096290604	0.04375452450013562	0.0429418335941095	0.042646222766483076	0.036922409351069954	0.21088330280233722	0.19559384704129468	0.18130212025417167	0.2031409861553272	0.22621215304021627	0.21800046689744745	0.14961698037740304	0.1731013816546085	0.1683875107025567	0.14865223102740688	0.20979599415794062	0.1860223536570533	0.1935273784777106	0.21521557484947879	0.1969057453479997	0.22645620663554686	0.22733576950725864	0.20491968168807614
G4-B6	0.03382112888334959	0.10557772559308297	0.09077258134706948	0.0076430567692955115	0.09454369872360135	0.017867870265589777	0.16532541746193724	0.066454404256845	0.02656140029520212	0.09805932170826473	0.10129126750611554	0.011531170691743056	0.043832338761693485	0.09814238350084496	0.039171322588665645	0.0	0.048235146477247984	0.11005524120181787	0.042894104916304056	0.10451118368701603	0.02338160977609355	0.05238683740190488	0.048851737282511236	0.03964365260837142	0.04015405777544979	0.003936163565865623	0.11207773578791617	0.05052235988189654	0.006876710412932037	0.005911078207476863	0.028363339342783324	0.026177970705502762	0.1750344587163441	0.15954492087307431	0.14525319408595125	0.16682796303049913	0.1896990478331609	0.18195154072922715	0.11356805420918269	0.13678835852978044	0.13187440549550136	0.1126033048591865	0.1738420088037027	0.1494419507365615	0.15757339312347268	0.17870246964242345	0.16039264014094437	0.19040728046732647	0.19128684333903823	0.16887075551985578
G4-B7	0.016642509356823796	0.11103795321877488	0.04963124780103873	0.054624023646554234	0.10168837485260283	0.04361754960130799	0.17203034594572209	0.01942679675502364	0.02407930740101577	0.10674181024120945	0.10673288803728574	0.041630370030582176	0.019137743247912495	0.10457441204476517	0.010675753792349883	0.048235146477247984	0.0	0.11545862458645442	0.007543071033809565	0.11071959508623287	0.0461444460904074	0.006159341218639748	0.003213556755623023	0.011932615142338484	0.04536284654521603	0.045972641240331735	0.11736397102309458	0.009022077264065023	0.05225434288422786	0.05289204477044988	0.051913918291643664	0.0458714783938923	0.22121527914311945	0.2057257412998497	0.19143401451272662	0.21311392472551932	0.23598500952818108	0.2281323611560024	0.159748874635958	0.18307432022480058	0.17816036719052156	0.1587841252859618	0.22012797049872282	0.1963390662502416	0.20385935481849285	0.22529400824677365	0.20686958740429576	0.23658810089410182	0.23746766376581363	0.21505157594663113
G4-B9	0.1130335967075969	0.014552631168881036	0.0912310982164228	0.10912487159928	0.12736695821463412	0.10920414795235679	0.158980449120096	0.11489991083478608	0.11321920528386517	0.025744701645253536	0.010889309290664092	0.10665131158177185	0.11497672120393097	0.1072537330877239	0.11398680389822784	0.11005524120181787	0.11545862458645442	0.0	0.11442198582353814	0.025301389535220944	0.11598347211402356	0.11200138357832903	0.11643969892759438	0.11442407238133288	0.07912866773955282	0.11043510372202367	0.009701099675357632	0.11080841076767552	0.1102871921604229	0.10995183225601862	0.11078139870877733	0.08734270287323068	0.23274543370891243	0.2172558958656426	0.20296416907851955	0.22407825070947296	0.14023066721215846	0.23966251572179537	0.17127902957317953	0.19403864620875422	0.16564399659314896	0.17031428025175474	0.23109229648267646	0.11604720025301024	0.21482368080244646	0.1335447082497988	0.19650852642111202	0.24811825545989474	0.24899781833160659	0.22658173051242403
G4-C1	0.00938531933741603	0.10927938053013339	0.0484596585710454	0.048591302756003305	0.09966409239480237	0.0373688943003064	0.1706367978157551	0.023896827251281866	0.01847194147489509	0.102939961366339	0.10503072108381639	0.03594855137189616	0.0137410308505605	0.10399087732876161	0.004800657133649666	0.042894104916304056	0.007543071033809565	0.11442198582353814	0.0	0.10870408254115976	0.04068228805545352	0.010657474012312994	0.007557838893286539	0.004973591872386697	0.040497885999534224	0.03979437812165699	0.11701507326410888	0.008903183822583503	0.047000584061060946	0.047150485029050636	0.04566107022250858	0.0407791522814325	0.2151547680477107	0.1998653122866682	0.1855735854995452	0.20648758504827125	0.22955875193316033	0.2222719321428209	0.15388844562277657	0.17644798054755254	0.17173410959550073	0.15292369627278035	0.21350163082147466	0.1887959958450036	0.19723301514124478	0.2185621737424229	0.2002523442409438	0.23072767188092042	0.23160723475263204	0.20919114693344965
G4-C10	0.10737239138619414	0.03590467345390929	0.09929248091027333	0.1035808141416211	0.13803029673790804	0.10366009066612646	0.1559158034884161	0.1225858445740145	0.10767514799763483	0.010825641249937136	0.01781980423098096	0.10089325483768243	0.09945200280938689	0.10540592811919268	0.10828779993617466	0.10451118368701603	0.11071959508623287	0.025301389535220944	0.10870408254115976	0.0	0.1005911590361014	0.11033285356516567	0.11146853157818581	0.10878176578025525	0.07368070094701189	0.10489104632150763	0.017449594857319003	0.10333050980963919	0.10420545607556717	0.10440777482693107	0.105237341022547	0.0822570109509953	0.21770922464985215	0.2022196868065823	0.18792796001945927	0.20904204165041268	0.13906745343953986	0.2246263066627351	0.15624282077126214	0.179002437149694	0.15060778759123153	0.15527807144983735	0.21605608742361626	0.10055262582995501	0.1997874717433862	0.1282236637034674	0.18101395199805684	0.23308204640083446	0.23396160927254628	0.21154552145336375
