	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-WF1	0.3182957393483709	0.47869674185463656	0.3032581453634085	0.5513784461152882	0.23308270676691728	0.2832080200501253	0.7769423558897243	0.3358395989974937	0.2907268170426065	0.2531328320802005	0.3408521303258145	0.8471177944862155	0.9072681704260651	0.3483709273182957	0.0	0.3057644110275689	0.3233082706766917	0.2606516290726817	0.24812030075187969	0.41854636591478694	0.6040100250626567	0.3057644110275689	0.2581453634085213	0.2932330827067669
G3-WF10	0.5513784461152882	0.42606516290726815	0.16040100250626566	0.5137844611528822	0.24812030075187969	0.12280701754385964	0.7694235588972431	0.23558897243107768	0.19047619047619047	0.21052631578947367	0.3483709273182957	0.8245614035087719	0.8120300751879699	0.3634085213032581	0.3057644110275689	0.0	0.10776942355889724	0.2681704260651629	0.13784461152882205	0.3057644110275689	0.49122807017543857	0.22807017543859648	0.08771929824561403	0.3082706766917293
G3-WF2	0.5739348370927319	0.47869674185463656	0.17794486215538846	0.543859649122807	0.2531328320802005	0.16541353383458646	0.7669172932330827	0.2506265664160401	0.20300751879699247	0.23558897243107768	0.3483709273182957	0.8195488721804511	0.8070175438596491	0.3533834586466165	0.3233082706766917	0.10776942355889724	0.0	0.2807017543859649	0.15789473684210525	0.3533834586466165	0.5238095238095238	0.23558897243107768	0.14035087719298245	0.3483709273182957
G3-WF3	0.42857142857142855	0.42105263157894735	0.3533834586466165	0.5012531328320802	0.3233082706766917	0.2907268170426065	0.7468671679197995	0.2731829573934837	0.3508771929824561	0.3208020050125313	0.3182957393483709	0.8270676691729323	0.8095238095238095	0.3208020050125313	0.2606516290726817	0.2681704260651629	0.2807017543859649	0.0	0.23558897243107768	0.3107769423558897	0.48370927318295737	0.3508771929824561	0.2731829573934837	0.18295739348370926
G3-WF4	0.47619047619047616	0.41854636591478694	0.20551378446115287	0.5087719298245614	0.21553884711779447	0.13283208020050125	0.7744360902255639	0.2957393483709273	0.18295739348370926	0.17042606516290726	0.3383458646616541	0.8621553884711779	0.8446115288220551	0.3483709273182957	0.24812030075187969	0.13784461152882205	0.15789473684210525	0.23558897243107768	0.0	0.3308270676691729	0.506265664160401	0.20300751879699247	0.08270676691729323	0.22556390977443608
G3-WF5	0.49874686716791977	0.21303258145363407	0.42606516290726815	0.3308270676691729	0.41854636591478694	0.38847117794486213	0.6917293233082706	0.3408521303258145	0.45864661654135336	0.3157894736842105	0.3333333333333333	0.8170426065162907	0.7644110275689223	0.3258145363408521	0.41854636591478694	0.3057644110275689	0.3533834586466165	0.3107769423558897	0.3308270676691729	0.0	0.2731829573934837	0.40350877192982454	0.3132832080200501	0.2882205513784461
G3-WF6	0.5238095238095238	0.3258145363408521	0.6165413533834586	0.3583959899749373	0.6040100250626567	0.5764411027568922	0.681704260651629	0.5137844611528822	0.6416040100250626	0.5012531328320802	0.5112781954887218	0.8070175438596491	0.7543859649122807	0.5012531328320802	0.6040100250626567	0.49122807017543857	0.5238095238095238	0.48370927318295737	0.506265664160401	0.2731829573934837	0.0	0.5739348370927319	0.49122807017543857	0.48370927318295737
G3-WF7	0.5588972431077694	0.48872180451127817	0.2781954887218045	0.5664160401002506	0.2706766917293233	0.2656641604010025	0.8170426065162907	0.3358395989974937	0.2807017543859649	0.22556390977443608	0.38847117794486213	0.87468671679198	0.8822055137844611	0.39348370927318294	0.3057644110275689	0.22807017543859648	0.23558897243107768	0.3508771929824561	0.20300751879699247	0.40350877192982454	0.5739348370927319	0.0	0.21303258145363407	0.3308270676691729
G3-WF8	0.47619047619047616	0.38596491228070173	0.15538847117794485	0.49122807017543857	0.22807017543859648	0.10275689223057644	0.7593984962406015	0.2781954887218045	0.17543859649122806	0.15288220551378445	0.3408521303258145	0.849624060150376	0.8521303258145363	0.3258145363408521	0.2581453634085213	0.08771929824561403	0.14035087719298245	0.2731829573934837	0.08270676691729323	0.3132832080200501	0.49122807017543857	0.21303258145363407	0.0	0.24812030075187969
G3-WF9	0.41353383458646614	0.3609022556390977	0.38596491228070173	0.48872180451127817	0.3408521303258145	0.2982456140350877	0.7568922305764411	0.3458646616541353	0.37844611528822053	0.2982456140350877	0.3258145363408521	0.8446115288220551	0.8421052631578947	0.3233082706766917	0.2932330827067669	0.3082706766917293	0.3483709273182957	0.18295739348370926	0.22556390977443608	0.2882205513784461	0.48370927318295737	0.3308270676691729	0.24812030075187969	0.0
