	G2-31	G2-32	G2-33	G2-34	G2-35	G2-36	G2-71	G2-72	G2-73	G2-74	G2-75	G2-76	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-PF13	0.8972431077694235	0.9072681704260651	0.9022556390977443	0.9097744360902256	0.9022556390977443	0.9097744360902256	0.9423558897243107	0.9473684210526315	0.9298245614035088	0.9523809523809523	0.9548872180451128	0.949874686716792	0.46365914786967416	0.46867167919799496	0.22807017543859648	0.47619047619047616	0.0	0.2807017543859649	0.7293233082706767	0.3157894736842105	0.2907268170426065	0.2631578947368421	0.2957393483709273	0.8120300751879699	0.8847117794486216	0.2857142857142857	0.2581453634085213	0.2781954887218045	0.2832080200501253	0.2781954887218045	0.2581453634085213	0.43358395989974935	0.5614035087719298	0.3157894736842105	0.2506265664160401	0.3358395989974937
G3-PF14	0.9774436090225563	0.9799498746867168	0.9774436090225563	0.9824561403508771	0.974937343358396	0.9824561403508771	0.9774436090225563	0.9774436090225563	0.974937343358396	0.9824561403508771	0.9849624060150376	0.9874686716791979	0.44611528822055135	0.47368421052631576	0.15789473684210525	0.531328320802005	0.2807017543859649	0.0	0.849624060150376	0.3107769423558897	0.09022556390977443	0.24060150375939848	0.38596491228070173	0.8771929824561403	0.8922305764411027	0.37092731829573933	0.21804511278195488	0.13032581453634084	0.15288220551378445	0.2606516290726817	0.12280701754385964	0.43859649122807015	0.5714285714285714	0.2781954887218045	0.14035087719298245	0.2882205513784461
G3-PF2	0.8045112781954887	0.8045112781954887	0.8245614035087719	0.8020050125313283	0.7894736842105263	0.8270676691729323	0.7919799498746867	0.7944862155388471	0.7919799498746867	0.7994987468671679	0.8195488721804511	0.8295739348370927	0.8095238095238095	0.6190476190476191	0.7568922305764411	0.5363408521303258	0.7293233082706767	0.849624060150376	0.0	0.7418546365914787	0.8471177944862155	0.7218045112781954	0.6842105263157895	0.6892230576441103	0.7844611528822055	0.6190476190476191	0.7919799498746867	0.7769423558897243	0.7894736842105263	0.7593984962406015	0.7744360902255639	0.6541353383458647	0.6115288220551378	0.8220551378446115	0.7619047619047619	0.7919799498746867
G3-PF3	0.9373433583959899	0.9473684210526315	0.9423558897243107	0.949874686716792	0.949874686716792	0.949874686716792	0.9448621553884712	0.949874686716792	0.9398496240601504	0.9573934837092731	0.9674185463659147	0.9674185463659147	0.49122807017543857	0.41604010025062654	0.3032581453634085	0.45614035087719296	0.3157894736842105	0.3107769423558897	0.7418546365914787	0.0	0.37593984962406013	0.3283208020050125	0.3358395989974937	0.8195488721804511	0.7944862155388471	0.3007518796992481	0.3659147869674185	0.24561403508771928	0.2807017543859649	0.2556390977443609	0.3308270676691729	0.37092731829573933	0.49624060150375937	0.3433583959899749	0.2882205513784461	0.3233082706766917
G3-PF4	0.9699248120300752	0.9774436090225563	0.9724310776942355	0.9799498746867168	0.9724310776942355	0.9799498746867168	0.974937343358396	0.9774436090225563	0.974937343358396	0.9849624060150376	0.9799498746867168	0.9874686716791979	0.47619047619047616	0.5363408521303258	0.19047619047619047	0.5839598997493735	0.2907268170426065	0.09022556390977443	0.8471177944862155	0.37593984962406013	0.0	0.24812030075187969	0.38345864661654133	0.8721804511278195	0.924812030075188	0.37343358395989973	0.21804511278195488	0.18796992481203006	0.18546365914786966	0.3032581453634085	0.15037593984962405	0.47869674185463656	0.6140350877192983	0.2957393483709273	0.18295739348370926	0.3358395989974937
G3-PF5	0.8571428571428571	0.849624060150376	0.8721804511278195	0.8421052631578947	0.8521303258145363	0.8671679197994987	0.8320802005012531	0.8220551378446115	0.8120300751879699	0.8245614035087719	0.8796992481203008	0.8671679197994987	0.44110275689223055	0.3609022556390977	0.23558897243107768	0.40601503759398494	0.2631578947368421	0.24060150375939848	0.7218045112781954	0.3283208020050125	0.24812030075187969	0.0	0.2681704260651629	0.8796992481203008	0.8596491228070176	0.2756892230576441	0.20300751879699247	0.23558897243107768	0.23809523809523808	0.2957393483709273	0.15789473684210525	0.3583959899749373	0.49122807017543857	0.23057644110275688	0.15538847117794485	0.3007518796992481
G3-PF6	0.8471177944862155	0.8696741854636592	0.8571428571428571	0.8721804511278195	0.8696741854636592	0.8696741854636592	0.8671679197994987	0.8721804511278195	0.8621553884711779	0.8721804511278195	0.8972431077694235	0.8972431077694235	0.44862155388471175	0.40100250626566414	0.3258145363408521	0.41102756892230574	0.2957393483709273	0.38596491228070173	0.6842105263157895	0.3358395989974937	0.38345864661654133	0.2681704260651629	0.0	0.7969924812030075	0.8345864661654135	0.2681704260651629	0.3358395989974937	0.3408521303258145	0.3558897243107769	0.3182957393483709	0.3182957393483709	0.3684210526315789	0.48370927318295737	0.37844611528822053	0.3208020050125313	0.3333333333333333
G3-PF7	0.9573934837092731	0.9674185463659147	0.9624060150375939	0.9699248120300752	0.9624060150375939	0.9699248120300752	0.9874686716791979	0.9899749373433584	0.9874686716791979	0.9949874686716792	0.9849624060150376	0.9974937343358395	0.8721804511278195	0.8521303258145363	0.8195488721804511	0.8120300751879699	0.8120300751879699	0.8771929824561403	0.6892230576441103	0.8195488721804511	0.8721804511278195	0.8796992481203008	0.7969924812030075	0.0	0.6591478696741855	0.6967418546365914	0.8721804511278195	0.8245614035087719	0.8471177944862155	0.8395989974937343	0.8671679197994987	0.8345864661654135	0.7894736842105263	0.8847117794486216	0.8571428571428571	0.8671679197994987
G3-PF8	0.9298245614035088	0.9523809523809523	0.9373433583959899	0.9598997493734336	0.9423558897243107	0.949874686716792	0.9548872180451128	0.9573934837092731	0.9548872180451128	0.9548872180451128	0.9548872180451128	0.9649122807017544	0.8972431077694235	0.8471177944862155	0.8646616541353384	0.8120300751879699	0.8847117794486216	0.8922305764411027	0.7844611528822055	0.7944862155388471	0.924812030075188	0.8596491228070176	0.8345864661654135	0.6591478696741855	0.0	0.7844611528822055	0.924812030075188	0.8345864661654135	0.849624060150376	0.8421052631578947	0.8646616541353384	0.8220551378446115	0.7894736842105263	0.8872180451127819	0.87468671679198	0.8822055137844611
G3-PF9	0.8671679197994987	0.8546365914786967	0.8872180451127819	0.8521303258145363	0.8546365914786967	0.8822055137844611	0.87468671679198	0.8796992481203008	0.8696741854636592	0.8872180451127819	0.9022556390977443	0.9022556390977443	0.45864661654135336	0.40350877192982454	0.3208020050125313	0.41604010025062654	0.2857142857142857	0.37092731829573933	0.6190476190476191	0.3007518796992481	0.37343358395989973	0.2756892230576441	0.2681704260651629	0.6967418546365914	0.7844611528822055	0.0	0.3258145363408521	0.3433583959899749	0.3483709273182957	0.3157894736842105	0.3283208020050125	0.38095238095238093	0.47619047619047616	0.37593984962406013	0.2957393483709273	0.3308270676691729
