	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-B11	0.08552110656546331	0.06053061817190024	0.0	0.06053061817190024	0.28423583681778447	0.25207900352035734	0.4788412835834882	0.06053061817190024	0.21450747796228176	0.06053061817190024	0.0	0.0	0.026600641678108175	0.37275898333439217	0.1332546915924598	0.1822887211599886	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.0	0.0	0.06810374564698066	0.17249015267111759	0.06053061817190024	0.35012721369380634	0.1332546915924598	0.0	0.0	0.0	0.1332546915924598	0.20128678253446128	0.06053061817190024	0.28979086466409276	0.20544240602943212	0.20544240602943212	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.20746825638144997	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.1657339894229282	0.11345352371385893	0.1657339894229282	0.13525536633349597	0.08947671995814477	0.20544240602943212	0.20544240602943212	0.20544240602943212
G4-B2	0.08552110656546331	0.06053061817190024	0.0	0.06053061817190024	0.28423583681778447	0.25207900352035734	0.4788412835834882	0.06053061817190024	0.21450747796228176	0.06053061817190024	0.0	0.0	0.026600641678108175	0.37275898333439217	0.1332546915924598	0.1822887211599886	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.0	0.0	0.06810374564698066	0.17249015267111759	0.06053061817190024	0.35012721369380634	0.1332546915924598	0.0	0.0	0.0	0.1332546915924598	0.20128678253446128	0.06053061817190024	0.28979086466409276	0.20544240602943212	0.20544240602943212	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.20746825638144997	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.1657339894229282	0.11345352371385893	0.1657339894229282	0.13525536633349597	0.08947671995814477	0.20544240602943212	0.20544240602943212	0.20544240602943212
G4-B3	0.05892046488735514	0.08552110656546331	0.026600641678108175	0.08552110656546331	0.30086533900720497	0.23032324887831454	0.4876590175003795	0.08552110656546331	0.23436797141370314	0.08552110656546331	0.026600641678108175	0.026600641678108175	0.0	0.3545136048462461	0.10665404991435164	0.20128678253446128	0.08552110656546331	0.08552110656546331	0.05892046488735514	0.026600641678108175	0.026600641678108175	0.09283065423179518	0.1945024456050192	0.08552110656546331	0.3621842894717538	0.10665404991435164	0.026600641678108175	0.026600641678108175	0.026600641678108175	0.10665404991435164	0.17805356823732824	0.08552110656546331	0.267373635126828	0.2263654861096789	0.2263654861096789	0.09214769237669637	0.11345352371385893	0.2263654861096789	0.22828617678662935	0.09214769237669637	0.11345352371385893	0.2263654861096789	0.13940099576832116	0.08712053005925188	0.13940099576832116	0.15691047150721255	0.11345352371385893	0.2263654861096789	0.2263654861096789	0.2263654861096789
G4-B4	0.32732856888100176	0.346342362124476	0.37275898333439217	0.346342362124476	0.3242349054168801	0.26459910190403124	0.47957384139062925	0.346342362124476	0.3870227201351265	0.346342362124476	0.37275898333439217	0.37275898333439217	0.3545136048462461	0.0	0.36144791560413153	0.24274096919084476	0.346342362124476	0.346342362124476	0.32732856888100176	0.37275898333439217	0.37275898333439217	0.35110327407720165	0.42424080807062864	0.346342362124476	0.5010440403014996	0.36144791560413153	0.37275898333439217	0.37275898333439217	0.37275898333439217	0.36144791560413153	0.22372717594737052	0.346342362124476	0.45173597667829524	0.44542461335838746	0.44542461335838746	0.34921137116556883	0.3644843320267786	0.44542461335838746	0.44641228446064907	0.34921137116556883	0.3644843320267786	0.44542461335838746	0.3830846259493115	0.34560767919494123	0.3830846259493115	0.32753468626030896	0.3644843320267786	0.44542461335838746	0.44542461335838746	0.44542461335838746
G4-B5	0.0507221581662414	0.07898825118559938	0.1332546915924598	0.07898825118559938	0.22904935552102704	0.2323716474104888	0.45037352665622393	0.07898825118559938	0.1479955530694211	0.07898825118559938	0.1332546915924598	0.1332546915924598	0.10665404991435164	0.36144791560413153	0.0	0.20190650508925848	0.07898825118559938	0.07898825118559938	0.0507221581662414	0.1332546915924598	0.1332546915924598	0.08677161517819694	0.09833636754299406	0.07898825118559938	0.36956925149417286	0.0	0.1332546915924598	0.1332546915924598	0.1332546915924598	0.0	0.17741280563935324	0.07898825118559938	0.19502148055562485	0.13504246762011762	0.13504246762011762	0.08609509396719812	0.108720618387278	0.13504246762011762	0.1374426711318697	0.08609509396719812	0.108720618387278	0.13504246762011762	0.03781232907306848	0.0807565468822669	0.03781232907306848	0.1549752396334079	0.108720618387278	0.13504246762011762	0.13504246762011762	0.13504246762011762
G4-B6	0.15795372757863343	0.13681103653914814	0.1822887211599886	0.13681103653914814	0.10761698825691983	0.08966939971150333	0.36069318746623796	0.13681103653914814	0.2752979559195855	0.13681103653914814	0.1822887211599886	0.1822887211599886	0.20128678253446128	0.24274096919084476	0.20190650508925848	0.0	0.13681103653914814	0.13681103653914814	0.15795372757863343	0.1822887211599886	0.1822887211599886	0.14359023006601304	0.2396799925724828	0.13681103653914814	0.38756522332636606	0.20190650508925848	0.1822887211599886	0.1822887211599886	0.1822887211599886	0.20190650508925848	0.024493699449905208	0.13681103653914814	0.33779519301095723	0.26934361765762926	0.26934361765762926	0.18765529581847626	0.16270431384419606	0.26934361765762926	0.27105706997249096	0.18765529581847626	0.16270431384419606	0.26934361765762926	0.2312005365829144	0.1830226251317147	0.2312005365829144	0.20157284849996215	0.16270431384419606	0.26934361765762926	0.26934361765762926	0.26934361765762926
G4-B7	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
G4-B9	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
G4-C1	0.0	0.028266093019357973	0.08552110656546331	0.028266093019357973	0.2629347776694843	0.19135545067958998	0.4677105807139935	0.028266093019357973	0.18894535491068631	0.028266093019357973	0.08552110656546331	0.08552110656546331	0.05892046488735514	0.32732856888100176	0.0507221581662414	0.15795372757863343	0.028266093019357973	0.028266093019357973	0.0	0.08552110656546331	0.08552110656546331	0.03618452984229716	0.14407069292122607	0.028266093019357973	0.3348500330045742	0.0507221581662414	0.08552110656546331	0.08552110656546331	0.08552110656546331	0.0507221581662414	0.13346002812872823	0.028266093019357973	0.22909496208268446	0.1784462052080999	0.1784462052080999	0.03591489902911911	0.05854042344919899	0.1784462052080999	0.18061186875879595	0.03591489902911911	0.05854042344919899	0.1784462052080999	0.08609509396719812	0.030576351944187893	0.08609509396719812	0.10739924037044703	0.05854042344919899	0.1784462052080999	0.1784462052080999	0.1784462052080999
G4-C10	0.08552110656546331	0.06053061817190024	0.0	0.06053061817190024	0.28423583681778447	0.25207900352035734	0.4788412835834882	0.06053061817190024	0.21450747796228176	0.06053061817190024	0.0	0.0	0.026600641678108175	0.37275898333439217	0.1332546915924598	0.1822887211599886	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.0	0.0	0.06810374564698066	0.17249015267111759	0.06053061817190024	0.35012721369380634	0.1332546915924598	0.0	0.0	0.0	0.1332546915924598	0.20128678253446128	0.06053061817190024	0.28979086466409276	0.20544240602943212	0.20544240602943212	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.20746825638144997	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.1657339894229282	0.11345352371385893	0.1657339894229282	0.13525536633349597	0.08947671995814477	0.20544240602943212	0.20544240602943212	0.20544240602943212
