	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-B4	0.29714285714285715	0.35714285714285715	0.38	0.3485714285714286	0.2257142857142857	0.24285714285714285	0.26285714285714284	0.3342857142857143	0.2714285714285714	0.3457142857142857	0.36	0.2742857142857143	0.3	0.0	0.28285714285714286	0.33714285714285713	0.2742857142857143	0.38	0.34	0.40285714285714286	0.29428571428571426	0.3485714285714286	0.29428571428571426	0.4542857142857143	0.25142857142857145	0.3457142857142857	0.3657142857142857	0.28	0.34285714285714286	0.3314285714285714	0.28285714285714286	0.27714285714285714	0.8685714285714285	0.8714285714285714	0.8714285714285714	0.8657142857142858	0.82	0.8714285714285714	0.8714285714285714	0.8657142857142858	0.8485714285714285	0.8714285714285714	0.8685714285714285	0.7857142857142857	0.8685714285714285	0.7857142857142857	0.7885714285714286	0.8714285714285714	0.8714285714285714	0.8714285714285714
G4-B5	0.07714285714285714	0.32285714285714284	0.2742857142857143	0.17714285714285713	0.3028571428571429	0.1657142857142857	0.41714285714285715	0.20857142857142857	0.08285714285714285	0.32	0.31142857142857144	0.10571428571428572	0.1457142857142857	0.28285714285714286	0.0	0.17142857142857143	0.19142857142857142	0.3457142857142857	0.16	0.35428571428571426	0.17714285714285713	0.1742857142857143	0.10857142857142857	0.26857142857142857	0.14	0.15714285714285714	0.37142857142857144	0.08	0.24285714285714285	0.18285714285714286	0.18857142857142858	0.12285714285714286	0.8028571428571428	0.8057142857142857	0.8057142857142857	0.8028571428571428	0.7742857142857142	0.8057142857142857	0.8057142857142857	0.8028571428571428	0.8028571428571428	0.8057142857142857	0.8028571428571428	0.7171428571428572	0.8028571428571428	0.7228571428571429	0.7314285714285714	0.8057142857142857	0.8057142857142857	0.8057142857142857
G4-B6	0.12285714285714286	0.3942857142857143	0.2885714285714286	0.06571428571428571	0.2914285714285714	0.22	0.4142857142857143	0.19142857142857142	0.15428571428571428	0.3171428571428571	0.37142857142857144	0.12571428571428572	0.17142857142857143	0.33714285714285713	0.17142857142857143	0.0	0.19714285714285715	0.35428571428571426	0.12285714285714286	0.3514285714285714	0.24571428571428572	0.15428571428571428	0.15714285714285714	0.18857142857142858	0.2057142857142857	0.05142857142857143	0.37714285714285717	0.22857142857142856	0.2	0.09428571428571429	0.09428571428571429	0.20285714285714285	0.7514285714285714	0.7514285714285714	0.7514285714285714	0.7485714285714286	0.7171428571428572	0.7514285714285714	0.7514285714285714	0.7485714285714286	0.7457142857142857	0.7514285714285714	0.7514285714285714	0.6428571428571429	0.7514285714285714	0.6657142857142857	0.6742857142857143	0.7514285714285714	0.7514285714285714	0.7514285714285714
G4-B7	0.18285714285714286	0.3342857142857143	0.2057142857142857	0.2542857142857143	0.37142857142857144	0.2742857142857143	0.4542857142857143	0.08571428571428572	0.21428571428571427	0.3142857142857143	0.32571428571428573	0.17142857142857143	0.15142857142857144	0.2742857142857143	0.19142857142857142	0.19714285714285715	0.0	0.3342857142857143	0.14285714285714285	0.3628571428571429	0.2571428571428571	0.17714285714285713	0.1742857142857143	0.21428571428571427	0.1657142857142857	0.22	0.34	0.22857142857142856	0.24857142857142858	0.25142857142857145	0.20857142857142857	0.19714285714285715	0.8714285714285714	0.8714285714285714	0.8714285714285714	0.8685714285714285	0.8371428571428572	0.8714285714285714	0.8714285714285714	0.8685714285714285	0.8657142857142858	0.8714285714285714	0.8714285714285714	0.8085714285714286	0.8714285714285714	0.8085714285714286	0.8085714285714286	0.8714285714285714	0.8714285714285714	0.8714285714285714
G4-B9	0.35428571428571426	0.08	0.26857142857142857	0.3485714285714286	0.46	0.3914285714285714	0.5142857142857142	0.3514285714285714	0.3342857142857143	0.08857142857142856	0.10571428571428572	0.32	0.35428571428571426	0.38	0.3457142857142857	0.35428571428571426	0.3342857142857143	0.0	0.36	0.12857142857142856	0.3628571428571429	0.40285714285714286	0.3457142857142857	0.4514285714285714	0.23714285714285716	0.3457142857142857	0.054285714285714284	0.34	0.37142857142857144	0.3485714285714286	0.36857142857142855	0.26857142857142857	0.9085714285714286	0.9085714285714286	0.9085714285714286	0.9057142857142857	0.5428571428571428	0.9085714285714286	0.9085714285714286	0.9057142857142857	0.8285714285714286	0.9085714285714286	0.9085714285714286	0.5857142857142857	0.9085714285714286	0.5485714285714286	0.8	0.9085714285714286	0.9085714285714286	0.9085714285714286
G4-C1	0.10285714285714286	0.36	0.2	0.14285714285714285	0.2542857142857143	0.2257142857142857	0.41714285714285715	0.07714285714285714	0.1742857142857143	0.3314285714285714	0.34285714285714286	0.1657142857142857	0.13142857142857142	0.34	0.16	0.12285714285714286	0.14285714285714285	0.36	0.0	0.3657142857142857	0.2257142857142857	0.10857142857142857	0.13428571428571429	0.13142857142857142	0.2057142857142857	0.11428571428571428	0.38571428571428573	0.20285714285714285	0.21428571428571427	0.15142857142857144	0.12285714285714286	0.24	0.7971428571428572	0.8	0.8	0.7942857142857143	0.7657142857142857	0.8	0.8	0.7942857142857143	0.7942857142857143	0.8	0.7971428571428572	0.6657142857142857	0.7971428571428572	0.7142857142857143	0.7228571428571429	0.8	0.8	0.8
G4-C10	0.36857142857142855	0.16285714285714287	0.27714285714285714	0.3514285714285714	0.4542857142857143	0.4114285714285714	0.4657142857142857	0.35428571428571426	0.35428571428571426	0.12857142857142856	0.14857142857142858	0.35428571428571426	0.2885714285714286	0.40285714285714286	0.35428571428571426	0.3514285714285714	0.3628571428571429	0.12857142857142856	0.3657142857142857	0.0	0.3171428571428571	0.4	0.3628571428571429	0.4085714285714286	0.26	0.35428571428571426	0.14857142857142858	0.32571428571428573	0.3514285714285714	0.35428571428571426	0.3485714285714286	0.32285714285714284	0.8857142857142857	0.8857142857142857	0.8857142857142857	0.8828571428571429	0.5628571428571428	0.8857142857142857	0.8857142857142857	0.8828571428571429	0.8057142857142857	0.8857142857142857	0.8857142857142857	0.5285714285714286	0.8857142857142857	0.5228571428571429	0.7428571428571429	0.8857142857142857	0.8857142857142857	0.8857142857142857
G4-C2	0.15142857142857144	0.3314285714285714	0.3	0.2257142857142857	0.3457142857142857	0.17142857142857143	0.44285714285714284	0.2342857142857143	0.13714285714285715	0.34	0.3142857142857143	0.19714285714285715	0.1457142857142857	0.29428571428571426	0.17714285714285713	0.24571428571428572	0.2571428571428571	0.3628571428571429	0.2257142857142857	0.3171428571428571	0.0	0.25142857142857145	0.13142857142857142	0.32	0.22857142857142856	0.2257142857142857	0.3657142857142857	0.14	0.27714285714285714	0.2257142857142857	0.26285714285714284	0.21142857142857144	0.8485714285714285	0.8485714285714285	0.8485714285714285	0.8457142857142858	0.8142857142857143	0.8485714285714285	0.8485714285714285	0.8457142857142858	0.8428571428571429	0.8485714285714285	0.8485714285714285	0.7257142857142858	0.8485714285714285	0.7628571428571429	0.7714285714285715	0.8485714285714285	0.8485714285714285	0.8485714285714285
G4-C3	0.12857142857142856	0.38571428571428573	0.2057142857142857	0.17142857142857143	0.25142857142857145	0.23142857142857143	0.4685714285714286	0.15428571428571428	0.1742857142857143	0.38571428571428573	0.3628571428571429	0.16	0.12285714285714286	0.3485714285714286	0.1742857142857143	0.15428571428571428	0.17714285714285713	0.40285714285714286	0.10857142857142857	0.4	0.25142857142857145	0.0	0.14857142857142858	0.23142857142857143	0.20857142857142857	0.14857142857142858	0.4114285714285714	0.2257142857142857	0.2542857142857143	0.18857142857142858	0.18	0.24857142857142858	0.82	0.82	0.82	0.82	0.7885714285714286	0.82	0.82	0.82	0.8171428571428572	0.82	0.82	0.6857142857142857	0.82	0.7371428571428571	0.7457142857142857	0.82	0.82	0.82
G4-C4	0.06857142857142857	0.32285714285714284	0.23714285714285716	0.15714285714285714	0.3028571428571429	0.13142857142857142	0.44	0.14857142857142858	0.11714285714285715	0.3314285714285714	0.32	0.12	0.12571428571428572	0.29428571428571426	0.10857142857142857	0.15714285714285714	0.1742857142857143	0.3457142857142857	0.13428571428571429	0.3628571428571429	0.13142857142857142	0.14857142857142858	0.0	0.19428571428571428	0.15714285714285714	0.13428571428571429	0.3742857142857143	0.12857142857142856	0.19714285714285715	0.15142857142857144	0.1742857142857143	0.15428571428571428	0.84	0.84	0.84	0.84	0.8085714285714286	0.84	0.84	0.84	0.8371428571428572	0.84	0.84	0.7028571428571428	0.84	0.7571428571428571	0.7657142857142857	0.84	0.84	0.84
